"Field1_Text"
"Salman Rushdie's Midnight's Children"
"The Husain‐Doshi Gufa in Ahemdabad"
"MF Husain"
"Balkrishna Doshi"
"Vritra"
"Vastupurusa"
"Surendran Nair, Auto da fe, 1996"
"Prem Chandavarkar"
"Ramesh Biswas"
"Chandigarh"
"Gurgaon in Delhi"
"Hirandani in Mumbai"
"Mein Prem Ki Diwani Hoon"
"Orhan Pamuk"
"havelis"
"Bijoy Jain"
"Rahul Mehrotra"
"‘secessionist’"
"Orchard House"
"Samira Rathod"
"Mathew & Ghosh"
"Rafiq Azam"
"Adnan Morshed"
"Grameen Bank housing programme"
"Ghandi's ashram"
"Nuru Karim, ‘Charka’"
"Adil Jussawalla"
"The River of Fire"
"cultural fluidity"
"transnational mobility"
"meta‐national matrix"
"‘We want to learn how to behave and to become more sensitive towards the visitor’"
"Daan Roosegaarde"
"Dune 4.0"
"‘bushes’ of swaying, reed‐like fibres"
"Netherlands Media Art Institute In Amsterdam"
"‘hard construction’"
"‘soft construction’"
"UVA, Volume, V&A"
"MySpace"
"Helen Evans and Heiko Hansen of HeHe"
"Mirrorspace, Pompidou Centre, Paris, 2003"
"the interLiving project"
"European Disappearing Computer Initiative (2001‐03)"
"Dan Graham"
"Rafael Lozano‐Hemmer, Scott Snibbe, Eric Schuldenfrei and Marisa Yiu"
"Flirtables"
"Tobi Schneidler"
"a playful new socio‐spatial programme"
"Jason Bruges in the UK, Scott Snibbes's Sona Research and Antenna Design in the US, the Interaction Design Lab in Italy"
"Electroland"
"Usman Haque"
"Gordon Pask"
"Conversation Theory"
"‘Architecture of conversations’ sketches"
"Antenna Design, The Door, Walker Arts Centre, Minneapolis, 2000"
"Usman Haque, Moody Mushroom Floor, Bartlett School of Architecture, UCL, London, 1996"
"Paul Pangaro"
"Masamichi Udagawa and Sigi Moeslinger."
"mayor of Bologna, Sergio Cofferati"
"Gocce (Teardrops)"
"Mario Cucinella"
"Infobox"
"transparent methacrylate tubes"
"Palazzo de Enzo"
"Auditorium Parco della Musica"
"Renzo Piano"
"Massimiliano Fuksas"
"New Milan Trade Fair"
"Rho‐Pero"
"blob‐like glass canopy"
"‘star system’"
"InArch‐Ance (Instituto Nazionale di Architecttura e Associazone Nazionale Costruttori Edili)"
"Doriana Fuksas"
"Ferrari Research Centre, Maranello, Emilia‐Romagna"
"Vittorio Gregotti"
"Stefano Boeri"
"Domus magazine"
"Rem Koolhaas"
"‘Mutations’ exhibition"
"Dejan Sudjic"
"Giancarlo de Carlo"
"Ettore Sottsas"
"Casabella"
"Francesco Dal Co"
"Zaha Hadid"
"Coop Himmelb(l)au, Thom Mayne"
"Area"
"Marco Casamonti"
"The Plan"
"5+1"
"Rudy Ricciotti"
"Palazzo del Cinema"
"Venice Biennale"
"Venice"
"Frank Lloyd Wright"
"Canal Grande"
"Le Corbusier"
"the Italian Pavilion in the Biennale Gardens"
"Francesco Cellini"
"Nemesi Studio, Santa Maria della Presentazione, Quartaccio, Rome"
"Sartogo Architetti Associati, Sacro Volto di Gesù Church, Rome"
"Garofalo Miura Architetti, Santa Maria delle Grazie Church and Parish Centre, Rome"
"Aldo Rossi"
"MAXXI Museum by Hadid"
"Ara Pacis Museum designed by Richard Meier"
"the Vatican"
"the Erasmus generation"
"Postmodernism"
"Tendenza"
"Reyner Banham"
"‘Neoliberty: the Italian retreat from Modern Architecture’"
"Euralille"
"Frank Gehry"
"Guggenheim Museum in Bilbao"
"Jean Nouvel"
"Daniel Libeskind"
"Jewish Museum in Berlin"
"Architectural Association"
"the Berlage"
"Columbia"
"Peter Eisenman"
"Universale di architettura"
"Bruno Zevi"
"Deconstructivist movement"
"Il Progetto"
"Maurizio Bradaschia, Livio Sacchi, Antonino Saggio, Maurizio Unali"
"‘Paesaggistica e linguaggio grado zero dell'architettura’ (Landscape and the Zero Degree of Architectural Language)"
"Modena"
"Universale de architettura"
"Arch'it"
"Macro Brizzi"
"HyperArchitettura"
"La Rivoluzione Informatica (The Information Revolution)"
"Boolean algebra"
"Architettura e cultura digitale"
"Benedetto Camerana and Hugh Dutton Associés, Olympic Village Bridge, Turin"
"Studio Zoppini Associati/HOK, Oval Speed Skating Arena, Turin"
"C+C04STUDIO, Residential building, Cagliari, Sardinia"
"Pier Cerchi and Mario Cubeddu"
"Tafurian historiographic approach (Manfredo Tafuri, Giorgio Ciucci, Francesco Dal Co and the Venetian School in general)"
"Leonardo Ricci"
"Vittorio Giorgini"
"Luigi Pellegin"
"Maurizio Sacripanti"
"Franco Albini, Luigi Moretti, Carlo Mollino"
"Giovanni Michelucci"
"François Burkhardt"
"7th International Architectural Exhibition in Venice 2000"
"‘Less Aesthetics, More Ethics’"
"destruction of the Twin Towers on 11 September 2001"
"Antonio Ravalli Architetti, House R, Ferrara, Emilia‐Romagna"
"‘40‐year‐old architects’"
"Alvisi Kirimoto + Partners, Residential building, Trani, Apulia"
"GAP Architetti Associati, O Espaço dos Sonhos multifunctional community centre, Rio Pequeno, Sao Paulo, Brazil"
"RicciSpaini, Interaction Design Institute Ivrea and Cliostraat, Project for an open‐air museum, Cosenza, Calabria"
"ABDR"
"Dieter Kienast"
"Et in Arcadia, Ego"
"John Dixon Hunt"
"Juhani Pallasmaa"
"New Orleans, post‐Katrina"
"2006 International Architectural Biennale in Venice"
"Ricky Burdett"
"Bogotá"
"Hiroki Hasegawa's Yokohama Portside Park in Japan (1999)"
"Gustafson and Porter's urban redefinition of Singapore"
"Museum of Vulcanology, Clermont‐Ferrand"
"Hans Hollein"
"‘Alles ist architektur’"
"Museum Abteilberg in Mönchengladbach, Germany"
"Guggenheim Museum in Salzburg, Austria"
"Aleksanterinkatu"
"Dixon and Jones"
"London's Exhibition Road"
"vehicle‐free urban perspective"
"Whiteinch Cross, Glasgow Green (1999), Gross.Max"
"Peter Eisenman Architects, City of Culture, Santiago de Compostela, Spain"
"Robert Morris"
"minimalist sculpture"
"Notes on Sculpture II"
"Site‐specifics"
"Robert Smithson, Spiral Jetty, Great Salt Lake, Utah, 1970"
"University of Pennsylvania Graduate School of Fine Arts"
"Ian McHarg"
"James Corner"
"Bernard Lassus"
"Michel Conan"
"Mies van der Rohe"
"Peter Cook"
"Kathryn Gustafson and Neil Porter in Beirut"
"Florian Beigel and Philip Christou in Leipzig and Korea"
"Grahame Shane"
"Patrick Geddes"
"Lorens Holm and Paul Guzzardo"
"Cahokin"
"laser\net ‘digital future landscape terrain’, Felipe Correa"
"‘The Big Easy’"
"Jayne Merkel and Lucy Bullivant"
"NURBS modelling"
"Greg Lynn FORM"
"Alessi flatware"
"generative techniques"
"scripting"
"interrelational schemes"
"Frei Otto"
"design intelligence"
"Melike Altinisik"
"Samer Chamoun"
"Daniel Widrig"
"Patrik Schumacher"
"Yusuke Obuchi Studio"
"(Architectural Association DRL)"
"Centrepoint"
"Peter Mitterer"
"Matthias Moroder"
"Zaha Hadid Studio"
"Universität für Angewandte Kunst, Vienna"
"Alan Colquhoun"
"‘Rationalism: A Philosophical Concept in Architecture’"
"‘the result of the application of general rules, established by the operation of reason’"
"‘of all the arts, architecture is the one in which it is least possible to exclude the idea of rationality’"
"Neorationalist movement"
"“defensive reaction”"
"Functionalism"
"Livio Vacchini, La Ferriera Offices, Locarno, Ticino, Switzerland, 2003"
"Irish Neorationalism"
"Giorgio Grassi"
"OM Ungers"
"Max Dudler"
"De Architekten Cie"
"IBM Switzerland Offices, Zurich, Switzerland"
"Werner Tscholl, Selimex Building, Laces, Val Venosta, Italy"
"‘The Heroic Period of Modern Architecture’"
