Field1_Text
Tahrir Square in Cairo
President Mubarak
Bernard Tschumi
economic crisis in Europe and the US
Marcel Duchamp
Fountain
Chris Jenks
"Bernard Khoury, B018 music club, Beirut, Lebanon"
Karantina massacre
Henri Lefebvre
Occupy movement
Louis Rice
N55
Superflex
Flooded McDonald's
Michael Rakowitz
paraSITE project
Can Altay
Architecture and Disjunction
Society of Independent Artists
Edward Denison
Guangyu Ren
2012 Pritzker Prize
Wang Shu
Robin Wilson
"Lacaton & Vassal, Palais de Tokyo Centre for Contemporary Creation, Paris, France"
Construire
Le Channel complex
David Littlefield
Schröder House
Silvia Loeffler
Didier Faustino
Sky Is The Limit teahouse
Doppelgänger
trans‐disciplinary
atelier d'architecture autogérée (aaa)
Doina Petrescu
Constantin Petcou
EXYZT
Alex Römer and Naïm Aït‐Sidhoum
Lina Bo Bardi
Mikhail Bakhtin
Kim Dovey
WikiHouse
Alastair Parvin
Catie Newell
"Narinder Sagoo/Foster + Partners, Beijing Capital International Airport, Beijing"
West Kowloon Cultural District
Drawing Architecture
hand‐drawing
fifth dimension
‘donegality’
Michael Ward
Planet Narnia
"Morphosis Architects, Providao, Combinatorial Form"
"Will Alsop, Shadow Wall"
"Painting Study for the interiors of a residential building, Toronto"
"Peter Wilson, Ninja House, Yokohama, Japan"
"Ben Nicholson, Appliance House"
Rosalind Krauss
Lebbeus Woods
Peter Cook
Ben Nicholson
Mike Webb
Peter Wilson
"Nigel Coates, Muse Britannia"
Narrative Architecture Today (NATO)
CJ Lim
Smout Allen
Nancy Wolf
Perry Kulper
Bryan Cantley
Mas Yendo
Nic Clear
Simon Herron
‘chronogram’
Herron/Isa studio
"Epicyclarium, Entrance Elevation (Night)"
"‘Origins’, AA Files"
Inhabiting the Quake: Seismicity
Yair Millet
Radical Reconstruction
Dan Slavinsky
Tom Noonan
Pascal Bonner
AVATARs
Gavin Robotham
CRAB studio
Mark Garcia
Mark Morris
War and Architecture: Moments
"Antonio Sant'Elia, La Cittá Nuova"
‘Manifesto of Futurist Architecture’
"Wax Market, Lagos, Nigeria"
emergent phenomena
Iain D Stewart
regional‐scale climate
Evan Greenberg and George Jeronimidis
the rainforest's morphology
"Keith Besserud, Mark Sarkisian, Phil Enquist and Craig Hartman"
"Skidmore, Owings & Merrill (SOM)"
hydrological and ecological complexities
Great Lakes
St Lawrence River
Chicago
Lake Michigan shoreline
San Francisco
Daniel Segraves
‘big data’
"Francis Aish, Adam Davis and Martha Tsigkari"
Foster + Partners
‘population thinking’
"Eva Castro, José Alfredo Ramírez and Eduardo Rico"
Groundlab
Ground Ecologies
Jiading District of Shanghai
Paisajes Latentes project
Mexico City
Valle de Chalco
"Sebastiaan Leenknegt, Lei Liu and Aarathi Muralidharan, Ecological Parameters Affecting the Environmental Performance of the City, AA Emergent Technologies and Design (EmTech), Architectural Association, London"
Marina Lathouri
Cristina Díaz Moreno and Efrén García Grinda
AMID.cero9
‘third natures’
Jack Self
informational technologies
Wolf Mangelsdorf
multi‐scalar patterns and variable speed of flows
Buro Happold
High Line in New York City
XRL terminus
Joan Busquets
"Javier Cardós Elena, Dennis Goff and Mary Polites"
Liam Young and Kate Davies
Western Desert
Arctic ‘Northwest Passage’
Mehran Gharleghi
intelligent ‘metasystem’.
"Mark Titman, Albert Memorial and Emperor Butterfly, digital collage"
Dead Man (1995)
