Field1_Text
NASA rover
Space Shuttle Atlantis
Russian Mir space station
STS ‐71 mission
Neil Armstrong
Moon
International Space Station
US
Curiosity
Mars
China
Yang Liwei
Yutu
space tourism
space yachts
Virgin Galactic Spaceport America in New Mexico
Foster + Partners
Greg Lynn
Michael Fox
California Polytechnic State University (Cal Poly)
Larry Bell
Sasakawa International Center for Space Architecture (SICSA)
University of Houston
Space Settlement
Madhu Thangavelu
Brent Sherwood
Andreas Volger
MoonCapital
Buzz Aldrin
Robert Zubrin
Solar Dynamics Observatory
flares
ATHLETE
A Scott Howe
3D printing
Habitable Artificial Satellites
Alpha
Rod Jones
Constance Adams
Ondřej Doule
Space Architecture Technical Committee at the American Institute of Aeronautics and Astronautics (AIAA)
Sandra Häuplik‐Meusburger
greenhouse systems
Marc M Cohen
Water Wall
NASA Mars Reconnaissance Orbiter
Proctor Crater
High Resolution Imaging Science Experiment (HiRISE)
SpaceX Dragon
Canadarm2 Mobile Servicing System (MSS)
Michael Maltzan Architecture
Jet Propulsion Laboratory (JPL)
Cosmonaut
Sergey Ryazanskiy
Russian
extra‐vehicular activity (EVA)
Space Exploration Technologies Corporation
Japanese Experiment Module (JEM)
Kibo laboratory
European Space Agency (ESA)
Japan Aerospace Exploration Agency (JAXA)
Cultural Centre of European Space Technologies (KSEVT)
Vitanje
design fiction
Alex McDowell
Hollywood
Peter Frankfurt
Imaginary Forces
"August Schmarsow, ‘Das Wesen der architektonischen Schoepfung’ [The Essence of Architectural Creation]"
"Hopkins Architects, Westminster Underground Station"
"Alexander Klein, Functional House for Frictionless Living"
University of Leipzig
Christopher Alexander
Archigram
Council for Architecture
Built Environment's ByDesign
WorkPlace Matters
General Services Administration
Jubilee Line
Google
Masdar City
Robert Vischer
Theodor Lipps
‘an organic generator’ (Raumgestalterin)
Hugo Häring
"Clive Wilkinson Architects, Macquarie Group headquarters, Ropemaker Place"
"Frieder Nake, Walk‐Through Raster"
"Hans Sharoun, Berlin Philharmonie"
‘Konkordanz’
Manfred Kiemle
Peter Eisenman
‘The Formal Basis of Modern Architecture’
Noam Chomsky's Syntactic Structures
Architectural Association (AA)
Paul Coates
John Frazer
Gordon Pask
"Cambridge University, the Centre for Land‐Use and Built Form Study (LUBFS)"
Notes on a Synthesis of Form
algorithmic design heuristics
Lindenmayer systems
spatial form and occupancy patterns
Philip Steadman
ETH Zurich
Markus Braach
Kazuhiro Kojima of CAt
Swarm Intelligence
Guy Theraulaz
‘stygmergy’
Stan Allen
Pierre‐Paul Grassé
Centre for Evolutionary Computing in Architecture (CECA)
University of East London
Pablo Miranda Carranza
Rudolf Arnheim
Gestalt theorists
Jean Piaget
James J Gibson
Kevin Lynch
Daniel R Montello
Juhani Pallasmaa
James J Gibson
"Olafur Eliasson's Weather installation, Tate Modern"
Jussi Ängeslevä
ART+COM
Bill Hillier
‘space syntax’
Julienne Hanson
The Social Logic of Space
Michael Benedikt's viewshed (isovist) analysis
Herman Hertzberger
1972 Centraal Beheer project
"Apeldoorn, the Netherlands"
The Computational Design Research (CDR) group
Aedas|R&D
Lucy Helme
Prarthana Jagannath
"Mike Aling and Mark Garcia, Diagram of the Details of the Histories, Theories and Futures of Architecture at the University of Greenwich"
Hendrik Petrus Berlage
Higgs boson particle
"Massimiliano Fuksas Architetto, EUR Congress Centre, Rome"
"Dan Grayber, Cavity Mechanism"
"Jorge Luis Borges, ‘The Aleph’"
Aristotelian theory
Georg Wilhelm Friedrich Hegel
Leon Battista Alberti
De Re Aedificatoria (On the Art of Building)
"Taeg Nishimoto, Plot(Ted) House 3"
Edward Ford
The Details of Modern Architecture
Carlo Scarpa
Archimedes
DETAIL magazine
The Architectural Detail
"Michael Landy, Break Down, Oxford Street, London"
Artangel
Work Council for Art in Berlin
"Walter Gropius, César Klein and Adolf Behne"
Eduardo Souto de Moura
Eric Owen Moss
"Post‐structuralist, Deconstructivist and Postmodern theories"
High‐Tech
Metabolists
Cedric Price
Nicholas Negroponte
Ralph Erskine
‘Assemblage’
Yakov Chernikhov
Gilles Deleuze
Félix Guattari
A Thousand Plateaus
Jürgen Habermas
Niklas Luhmann
Manuel De Landa
Bruno Latour
Jane Bennett
Peter Sloterdijk
Rem Koolhaas
"‘No Money, No Detail’"
"Adam Bell, The Restored Commonwealth Club, St James's, London, Unit 16, Department of Architecture and Landscape"
British Empire
Margaret Thatcher
General Belgrano
Falklands War
"Michael Hansmeyer and Benjamin Dillenburger, Digital Grotesque, FRAC Centre, Orléans, France"
3D voxeljet rapid prototyper
"Chris Kelly, Rubix, Unit 15"
Robert Somol and Sarah Whiting
Chuck Palahniuk's Damned (2011) and Doomed (2013)
Google Glass
Internet of Things
ONL
Boston Dynamics
FESTO
MIT Media Lab
PET and F/MIR scanning
"Jason Hopkins, Abhominal: Post‐Human Structures 111"
"Phil Watson and Jonathan Morris, Outerspace, Project Persephone, AVATAR research group"
Kant
Christian Schittich
Patrik Schumacher
Ben van Berkel
Hernan Diaz Alonso
Peter Macapia
Philippe Rahm
Carlo Ratti
Matthew Claudel
David Benjamin
Danil Nagy
Carlos Olguin
Dennis R Shelden
Skylar Tibbits
Massachusetts Institute of Technology
Rachel Armstrong
Neil Spiller
Nic Clear
"Fabio Gramazio and Matthias Kohler, Structural Oscillations, Architecture and Digital Fabrication, ETH Zurich, Venice Architecture Biennale"
Future Cities Laboratory (FCL)
Global Environmental Sustainability (SEC)
"Complex Timber Structures, Architecture and Digital Fabrication"
Thomas Bock
Silke Langenberg
"Gantenbein vineyard facade, Fläsch, Switzerland"
Volker Helm
Norman Hack
Willi Viktor Lauer
Mesh‐Mould structures
Neri Oxman
design research studio in Singapore
Michael Budig
Jason Lim
Raffael Petrovic
