"Field1","Field2_Text","Field2_Link","Field3_Text"
,"Herzog & de Meuron, Forum La Caixa, Madrid, 2008","https://onlinelibrary.wiley.com/action/doSearch?field1=Keyword&text1=Herzog%20&%20de%20Meuron,%20Forum%20La%20Caixa,%20Madrid,%202008","Gage Clemenceau"
,"Herzog & de Meuron, Forum La Caixa, Madrid, 2008","https://onlinelibrary.wiley.com/action/doSearch?field1=Keyword&text1=Herzog%20&%20de%20Meuron,%20Forum%20La%20Caixa,%20Madrid,%202008","Evan Douglis"
,"Herzog & de Meuron, Forum La Caixa, Madrid, 2008","https://onlinelibrary.wiley.com/action/doSearch?field1=Keyword&text1=Herzog%20&%20de%20Meuron,%20Forum%20La%20Caixa,%20Madrid,%202008","‘entertainment architecture’"
,"Herzog & de Meuron, Forum La Caixa, Madrid, 2008","https://onlinelibrary.wiley.com/action/doSearch?field1=Keyword&text1=Herzog%20&%20de%20Meuron,%20Forum%20La%20Caixa,%20Madrid,%202008","Whatever Happened to Modernism?"
,"Herzog & de Meuron, Forum La Caixa, Madrid, 2008","https://onlinelibrary.wiley.com/action/doSearch?field1=Keyword&text1=Herzog%20&%20de%20Meuron,%20Forum%20La%20Caixa,%20Madrid,%202008","Gabriel Josipovici"
,"Herzog & de Meuron, Forum La Caixa, Madrid, 2008","https://onlinelibrary.wiley.com/action/doSearch?field1=Keyword&text1=Herzog%20&%20de%20Meuron,%20Forum%20La%20Caixa,%20Madrid,%202008","Clement Greenberg"
,"Herzog & de Meuron, Forum La Caixa, Madrid, 2008","https://onlinelibrary.wiley.com/action/doSearch?field1=Keyword&text1=Herzog%20&%20de%20Meuron,%20Forum%20La%20Caixa,%20Madrid,%202008","Don Quixote"
,"Herzog & de Meuron, Forum La Caixa, Madrid, 2008","https://onlinelibrary.wiley.com/action/doSearch?field1=Keyword&text1=Herzog%20&%20de%20Meuron,%20Forum%20La%20Caixa,%20Madrid,%202008","Caruso St John, Nottingham Contemporary Arts Centre, Nottingham, 2009"
,"Herzog & de Meuron, Forum La Caixa, Madrid, 2008","https://onlinelibrary.wiley.com/action/doSearch?field1=Keyword&text1=Herzog%20&%20de%20Meuron,%20Forum%20La%20Caixa,%20Madrid,%202008","The Brunel Rooms nightclub, Swindon, 1955"
,"Herzog & de Meuron, Forum La Caixa, Madrid, 2008","https://onlinelibrary.wiley.com/action/doSearch?field1=Keyword&text1=Herzog%20&%20de%20Meuron,%20Forum%20La%20Caixa,%20Madrid,%202008","Pablo Picasso, Guitar, 1913"
,"Herzog & de Meuron, Forum La Caixa, Madrid, 2008","https://onlinelibrary.wiley.com/action/doSearch?field1=Keyword&text1=Herzog%20&%20de%20Meuron,%20Forum%20La%20Caixa,%20Madrid,%202008","Richard Hamilton, Interior II, 1964"
,"Herzog & de Meuron, Forum La Caixa, Madrid, 2008","https://onlinelibrary.wiley.com/action/doSearch?field1=Keyword&text1=Herzog%20&%20de%20Meuron,%20Forum%20La%20Caixa,%20Madrid,%202008","Jean‐François Lyotard"
,"Herzog & de Meuron, Forum La Caixa, Madrid, 2008","https://onlinelibrary.wiley.com/action/doSearch?field1=Keyword&text1=Herzog%20&%20de%20Meuron,%20Forum%20La%20Caixa,%20Madrid,%202008","Fredric Jameson"
,"Herzog & de Meuron, Forum La Caixa, Madrid, 2008","https://onlinelibrary.wiley.com/action/doSearch?field1=Keyword&text1=Herzog%20&%20de%20Meuron,%20Forum%20La%20Caixa,%20Madrid,%202008","Edward Soja"
,"Herzog & de Meuron, Forum La Caixa, Madrid, 2008","https://onlinelibrary.wiley.com/action/doSearch?field1=Keyword&text1=Herzog%20&%20de%20Meuron,%20Forum%20La%20Caixa,%20Madrid,%202008","Hild und K"
,"Herzog & de Meuron, Forum La Caixa, Madrid, 2008","https://onlinelibrary.wiley.com/action/doSearch?field1=Keyword&text1=Herzog%20&%20de%20Meuron,%20Forum%20La%20Caixa,%20Madrid,%202008","Atelier Bow‐Wow"
,"Herzog & de Meuron, Forum La Caixa, Madrid, 2008","https://onlinelibrary.wiley.com/action/doSearch?field1=Keyword&text1=Herzog%20&%20de%20Meuron,%20Forum%20La%20Caixa,%20Madrid,%202008","Edouard François"
,"Herzog & de Meuron, Forum La Caixa, Madrid, 2008","https://onlinelibrary.wiley.com/action/doSearch?field1=Keyword&text1=Herzog%20&%20de%20Meuron,%20Forum%20La%20Caixa,%20Madrid,%202008","Reinhold Martin"
,"Herzog & de Meuron, Forum La Caixa, Madrid, 2008","https://onlinelibrary.wiley.com/action/doSearch?field1=Keyword&text1=Herzog%20&%20de%20Meuron,%20Forum%20La%20Caixa,%20Madrid,%202008","Denise Scott Brown"
,"Herzog & de Meuron, Forum La Caixa, Madrid, 2008","https://onlinelibrary.wiley.com/action/doSearch?field1=Keyword&text1=Herzog%20&%20de%20Meuron,%20Forum%20La%20Caixa,%20Madrid,%202008","Charles Moore and William Turnbull (MLTW) Kresge College, University of California, Santa Cruz"
,"Herzog & de Meuron, Forum La Caixa, Madrid, 2008","https://onlinelibrary.wiley.com/action/doSearch?field1=Keyword&text1=Herzog%20&%20de%20Meuron,%20Forum%20La%20Caixa,%20Madrid,%202008","California, 1974"
