"Field1","Field2_Text","Field2_Link","Field3_Text"
,"Antoine Picon","https://onlinelibrary.wiley.com/action/doSearch?field1=Keyword&text1=Antoine%20Picon","Daniel Bosia's Advanced Geometry Unit (AGU)"
,"Antoine Picon","https://onlinelibrary.wiley.com/action/doSearch?field1=Keyword&text1=Antoine%20Picon","Arup"
,"Antoine Picon","https://onlinelibrary.wiley.com/action/doSearch?field1=Keyword&text1=Antoine%20Picon","Michael Weinstock"
,"Antoine Picon","https://onlinelibrary.wiley.com/action/doSearch?field1=Keyword&text1=Antoine%20Picon","designtoproduction"
,"Antoine Picon","https://onlinelibrary.wiley.com/action/doSearch?field1=Keyword&text1=Antoine%20Picon","Shigeru Ban"
,"Antoine Picon","https://onlinelibrary.wiley.com/action/doSearch?field1=Keyword&text1=Antoine%20Picon","projective geometry"
,"Antoine Picon","https://onlinelibrary.wiley.com/action/doSearch?field1=Keyword&text1=Antoine%20Picon","chaotic/probabilistic algorithms"
,"Antoine Picon","https://onlinelibrary.wiley.com/action/doSearch?field1=Keyword&text1=Antoine%20Picon","Adams Kara Taylor (AKT)"
,"Antoine Picon","https://onlinelibrary.wiley.com/action/doSearch?field1=Keyword&text1=Antoine%20Picon","Panagiotis Michalatos"
,"Antoine Picon","https://onlinelibrary.wiley.com/action/doSearch?field1=Keyword&text1=Antoine%20Picon","Sawako Kaijima"
,"Antoine Picon","https://onlinelibrary.wiley.com/action/doSearch?field1=Keyword&text1=Antoine%20Picon","parametric analytic equations"
,"Antoine Picon","https://onlinelibrary.wiley.com/action/doSearch?field1=Keyword&text1=Antoine%20Picon","Max Kahlen"
,"Antoine Picon","https://onlinelibrary.wiley.com/action/doSearch?field1=Keyword&text1=Antoine%20Picon","Rising Masses project"
,"Antoine Picon","https://onlinelibrary.wiley.com/action/doSearch?field1=Keyword&text1=Antoine%20Picon","Ana María Flor Ortiz and Rodia Valladares Sànchez"
,"Antoine Picon","https://onlinelibrary.wiley.com/action/doSearch?field1=Keyword&text1=Antoine%20Picon","The Hinging Tower"
,"Antoine Picon","https://onlinelibrary.wiley.com/action/doSearch?field1=Keyword&text1=Antoine%20Picon","Harvard University's Graduate School of Design"
,"Antoine Picon","https://onlinelibrary.wiley.com/action/doSearch?field1=Keyword&text1=Antoine%20Picon","Fourier summations"
,"Herzog & de Meuron, Forum La Caixa, Madrid, 2008","https://onlinelibrary.wiley.com/action/doSearch?field1=Keyword&text1=Herzog%20&%20de%20Meuron,%20Forum%20La%20Caixa,%20Madrid,%202008","Norman Foster"
,"Herzog & de Meuron, Forum La Caixa, Madrid, 2008","https://onlinelibrary.wiley.com/action/doSearch?field1=Keyword&text1=Herzog%20&%20de%20Meuron,%20Forum%20La%20Caixa,%20Madrid,%202008","Neo‐Modernism"
,"Herzog & de Meuron, Forum La Caixa, Madrid, 2008","https://onlinelibrary.wiley.com/action/doSearch?field1=Keyword&text1=Herzog%20&%20de%20Meuron,%20Forum%20La%20Caixa,%20Madrid,%202008","Disney Corporation"
,"Herzog & de Meuron, Forum La Caixa, Madrid, 2008","https://onlinelibrary.wiley.com/action/doSearch?field1=Keyword&text1=Herzog%20&%20de%20Meuron,%20Forum%20La%20Caixa,%20Madrid,%202008","David Harvey"
,"Herzog & de Meuron, Forum La Caixa, Madrid, 2008","https://onlinelibrary.wiley.com/action/doSearch?field1=Keyword&text1=Herzog%20&%20de%20Meuron,%20Forum%20La%20Caixa,%20Madrid,%202008","Robert Venturi"
,"Herzog & de Meuron, Forum La Caixa, Madrid, 2008","https://onlinelibrary.wiley.com/action/doSearch?field1=Keyword&text1=Herzog%20&%20de%20Meuron,%20Forum%20La%20Caixa,%20Madrid,%202008","James Stirling"
,"Herzog & de Meuron, Forum La Caixa, Madrid, 2008","https://onlinelibrary.wiley.com/action/doSearch?field1=Keyword&text1=Herzog%20&%20de%20Meuron,%20Forum%20La%20Caixa,%20Madrid,%202008","Rem Koolhaas"
,"Herzog & de Meuron, Forum La Caixa, Madrid, 2008","https://onlinelibrary.wiley.com/action/doSearch?field1=Keyword&text1=Herzog%20&%20de%20Meuron,%20Forum%20La%20Caixa,%20Madrid,%202008","Kester Rattenbury"
