"Field1_Text"
"Cultural Revolution"
"Committee of Architectural Creation of the Architectural Society of China"
"The Architect"
"World Architecture"
"New Architecture"
"Time+Architecture"
"IM Pei's Fragrant Hill Hotel"
"Beijing"
"Nianci Dai's Queli Hotel"
"Qufu"
"Shandong province"
"Zaiyuan Zhang"
"Yung Ho Chang"
"Hua Tang"
"‘Age of New Enlightenment’"
"Postmodernism"
"Deng Xiaoping"
"Shenzhen"
"Guangzhou"
"Atelier FCJZ"
"Feichang Architecture"
"Mingxian Wang"
"Xiaojun Rao"
"seminar ‘Experiment and Dialogue’"
"Wang Shu"
"Qingyun Ma"
"Jiakun Liu's He Duoling Studio"
"Chengdu"
"Morningside Mathematics Building"
"Wenzheng College Library"
"Suzhou University"
"20th International Union of Architects (UIA) Congress"
"Basis Library book series"
"For a Basic Architecture"
"Now and Here"
"The Beginning of Design"
"Building Utopia"
"Kai Cui's Projects Report"
"Luyeyuan Stone Sculpture Museum"
"‘A Basic Architecture’ (1998)"
"‘Learning from Industrial Architecture’ (2000)"
"‘Narrative Discourse and Low‐Tech Strategy’ (1997)"
"‘four basic thoughts’"
"URBANUS"
"Atelier Zhang Lei (later renamed AZL Architects)"
"Atelier Deshaus"
"Standard Architecture"
"Atelier Z+"
"Atelier Li Xinggang"
"OPEN Architecture"
"Vector Architects and Trace Architecture Office (TAO)"
"ABBS architectural forum"
"douban.com"
"WeChat"
"Commune by the Great Wall project"
"2002 Venice Architecture Biennale"
"Songshan Lake scientific industrial park"
"Dongguan"
"Rongyuan Zhu"
"Arata Isozaki"
"Foshou Lake art museum, hotel and residential villa complex"
"Nanjing"
"Jianchuan Museum Cluster"
"Sichuan province"
"Aedes Architekturforum"
"Berlin"
"Centre Pompidou"
"Paris"
"Netherlands Architecture Institute (NAI)"
"Rotterdam"
"Nanda Jianzhu"
"Nanjing University"
"Lei Zhang"
"Jingxiang Zhu"
"Peking University"
"Massachusetts Institute of Technology (MIT)"
"China Academy of Art"
"ETH Zurich"
"A+D"
"Junyang Wang"
"Kenneth Frampton's Studies in Tectonic Culture"
"Philip F Yuan"
"Archi‐Union"
"Digital Design Research Center at Tongji University"
"Yichun Liu"
"AND‐Office"
"Zhun Zhang"
"Dr Yimin Guo"
"Yehao Song"
"Institute for Architecture and Technology at Tsinghua University"
"SUP Atelier"
"Xin Zhang"
"DnA Design and Architecture"
"He Wei Studio"
"Golden Ridge Upper‐Cloister"
"Chengde"
"Hebei province"
"Reyner Banham, ‘A Black Box: The Secret Profession of Architecture’"
"Ayn Rand's Howard Roarke"
"The Fountainhead"
"Renzo Piano"
"Finn Williams"
"Zaha Hadid"
"Pavilion/Aqua Table"
"Jeremy Till"
"‘Beyond the Fountainhead’ lecture"
"neoliberalism"
"Assemble"
"Turner Prize"
"Cedric Price"
"Joan Littlewood"
"Fun Palace"
"alma‐nac"
"Free Architecture"
"Neave Brown/London Borough of Camden Architects Department"
"Alexandra Road Estate"
"Camden"
"Paxton House"
"Croydon"
"Granby Four Streets"
"Liverpool"
"Brian McGrath"
"Douglas Murphy"
"EXYZT"
"Agnes Denes"
"The Dalston Mill"
"Hackney"
"London"
"Indy Johar"
"Architecture 00"
"Helen Castle"
"Bow DIY project"
"Killing Architects"
"Carl Turner Architects"
"Burnside Skatepark"
"Portland"
